group,model,accuracy,f1_macro,latency_ms_per_sample,train_time_s,gpu_mem_mb,num_params,energy_joules,power_draw_w_mean,power_draw_w_peak,gpu_util_pct_mean,temp_c_mean,vram_used_mb_peak,flops_total,macs_total,spike_rate,timesteps,real_time_factor,input_type,group_order
Static,CNN,0.9907,0.9906138350040017,0.019205821678042412,99.98570790000667,36.85888671875,206922,1529.359673965902,15.304813780260718,26.837,10.738671632526382,55.453755431409064,1138.8515625,2436096,1218048,,,,,1
Static,MLP,0.9761,0.9760269856035991,0.021733928471803665,92.11868539999705,21.9296875,235146,1247.8080262026936,13.542166218035005,20.749,10.769179004037685,55.44414535666218,1110.7265625,469504,234752,,,,,1
Static,SNN_CNN,0.9873,0.9871669607398472,1.6861532926559448,977.6241136999888,268.998046875,206922,30522.693843949244,31.219789517153455,40.088,8.57592121982211,62.18246505717916,1402.4765625,61265650,30632825,0.1449816,25.0,,,1
Static,SNN_MLP,0.9685,0.9682160595723348,1.19729745388031,676.2116298000037,32.1689453125,235146,19115.614412847455,28.26803251883179,31.005,7.999816277787985,61.3607385632923,1159.2890625,11767225,5883612,0.082954,25.0,,,1
Temporal,GRU,1.0,1.0,0.019692551344633102,114.06543399998918,93.84765625,153354,1048.9892724057443,9.20154491017966,17.476,5.9352204681546,53.14207947740882,1130.2421875,2560,1280,,,,,2
Temporal,LSTM,1.0,1.0,0.01600244641304016,122.69947839999804,95.099609375,204042,1247.6328251465525,10.175167425392011,41.597,6.938796155791604,53.27364693980779,1128.2421875,2560,1280,,,,,2
Temporal,SNN_RNN,0.8466666666666667,0.8330934510254906,2.905207872390747,217.19679380000161,117.44384765625,18954,4052.1681228008215,18.621903476012672,29.191,9.596380350474002,57.12927319735708,1234.7421875,1908850,954425,0.33655666666666667,50.0,0.02905207872390747,,2
Temporal,SNN_TCN,0.9583333333333334,0.9566230207853008,3.8554084300994873,250.68856720000622,118.4560546875,9546,5071.85223159368,20.23331921743443,29.473,9.180534918276374,58.016592372461616,1409.4609375,964900,482450,0.3520566666666667,50.0,0.03855408430099487,,2
Temporal,TCN,1.0,1.0,0.04616619646549225,115.14076809999824,30.017578125,39818,1168.7194110245507,10.151503504043133,17.437,9.701347708894879,54.6544474393531,1144.7421875,1280,640,,,,,2
Event-based,EventCNN,0.7,0.6989799587252016,0.047263748943805695,118.47803939999721,81.61572265625,620522,1347.4856487399454,11.377870089051871,40.58,8.152959664745941,55.754845468831846,1225.2265625,22476288,11238144,,,,event_frames_2ch,3
Event-based,EventSNN,0.11,0.06307210031347962,0.9766672849655151,160.77914519999467,512.15673828125,620522,2844.0165296624095,17.697134674922626,42.899,10.821594427244582,57.51973684210526,1751.6640625,225232670,112616335,0.18203333333333332,10.0,0.0195333456993103,event_spike_stream,3
